SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TYPE
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,None
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Private
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,Private
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,PSU
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,Private
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,Private
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2,Private
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10,Private
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10,Private
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5,Private
PNB,Punjab National Bank,EQ,24-APR-2002,2,1,INE160A01022,2,PSU
SBIN,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1,PSU
